Preprocessing,RMSE_8020,R2_8020,RPD_8020,RMSE_LOCO,R2_LOCO,RPD_LOCO
SG + SNV,0.015744979735965163,0.07599094832458697,1.0403078777085981,0.019466483747407004,-0.4011269680197229,0.844814295025025
SG + MSC,0.015675101193614555,0.08417452489011723,1.044945499960105,0.01834039732074814,-0.2437123557534906,0.896685249292675
SG + 1st Deriv,0.015666150361900964,0.08522013973580811,1.0455425280176656,0.017753904324392236,-0.16544080416950302,0.9263068811904691
SG + 2nd Deriv,0.015119303094857402,0.14796867817313608,1.0833585616296084,0.020447717940906152,-0.5459383141050189,0.8042737967732824
SG + SNV + 1st Der,0.01636979453729392,0.0012001452662029344,1.000600613304613,0.01825737299237269,-0.23247763020881873,0.9007628726516216
SG + SNV + 2nd Der,0.016386087815641395,-0.0007891066865881591,0.9996056800117703,0.018106173509409403,-0.21214849014071668,0.9082848860989505
SG + MSC + 1st Der,0.016195477752682944,0.022358696813602474,1.0113703778187928,0.017489134940579777,-0.1309388584462683,0.9403303136236522
SG + MSC + 2nd Der,0.015679713350190767,0.08363551058345575,1.0446381313142767,0.021590410722117755,-0.7235515505621981,0.7617068501079746
Raw,0.021339565987638007,-0.6973178487669109,0.767570739872381,0.017343029910305365,-0.11212195723591067,0.9482520544988319
